experiment_id,text_w,voice_w,behaviour_w,structured_w,temporal_w,precision,recall,f1,roc_auc,pr_auc
search_6,0.0,0.0,0.0,1.0,0.0,0.30492424242424243,0.5833333333333334,0.40049751243781095,0.8545445101960678,0.4077392874124179
search_5,0.0,0.0,0.0,0.8,0.19999999999999996,0.30071174377224197,0.6123188405797102,0.4033412887828162,0.8586950814132946,0.40651605409994873
search_11,0.0,0.0,0.2,0.8,0.0,0.2586705202312139,0.6485507246376812,0.36983471074380164,0.8495349442481028,0.40642199089025693
search_10,0.0,0.0,0.2,0.6,0.19999999999999996,0.25225225225225223,0.7101449275362319,0.37226970560303896,0.8510069358830351,0.4041244877003126
search_4,0.0,0.0,0.0,0.6,0.4,0.29605263157894735,0.6521739130434783,0.4072398190045249,0.8583206624476042,0.39962821828062195
search_9,0.0,0.0,0.2,0.4,0.3999999999999999,0.24352941176470588,0.75,0.36767317939609234,0.8418770490306202,0.3886170964897957
search_3,0.0,0.0,0.0,0.4,0.6,0.2823179791976226,0.6884057971014492,0.40042149631190727,0.85468548806882,0.3801007766755372
search_61,0.2,0.0,0.0,0.8,0.0,0.17777777777777778,0.8115942028985508,0.2916666666666667,0.8219420929106964,0.3769982626451016
search_15,0.0,0.0,0.4,0.6,0.0,0.21757770632368703,0.7355072463768116,0.3358147229114971,0.8337711067276696,0.3768452540482001
search_26,0.0,0.2,0.0,0.8,0.0,0.2088888888888889,0.6811594202898551,0.3197278911564626,0.8135005433641087,0.37460078828290977
search_65,0.2,0.0,0.2,0.6,0.0,0.13535911602209943,0.8876811594202898,0.2348993288590604,0.8142956129055826,0.36670199552784133
search_60,0.2,0.0,0.0,0.6,0.19999999999999996,0.16509775524981898,0.8260869565217391,0.2751961375980688,0.8201327817502717,0.36499172681866054
search_14,0.0,0.0,0.4,0.4,0.19999999999999996,0.21083743842364533,0.7753623188405797,0.33152594887683967,0.8250053651498132,0.36158867377803566
search_25,0.0,0.2,0.0,0.6,0.19999999999999996,0.20186335403726707,0.7065217391304348,0.3140096618357488,0.8159536725021233,0.3588267241832872
search_30,0.0,0.2,0.2,0.6,0.0,0.16310975609756098,0.7753623188405797,0.2695214105793451,0.8030687515410537,0.3544516013266924
search_75,0.2,0.2,0.0,0.6,0.0,0.1329479768786127,0.9166666666666666,0.23221661312528682,0.8067096335260222,0.34920575637869805
search_64,0.2,0.0,0.2,0.4,0.19999999999999996,0.12893401015228426,0.9202898550724637,0.22617987533392697,0.8056337497602806,0.3457546706441524
search_2,0.0,0.0,0.0,0.2,0.8,0.26438356164383564,0.6992753623188406,0.3836978131212724,0.8481046181383157,0.34412283230652013
search_59,0.2,0.0,0.0,0.4,0.3999999999999999,0.15551181102362205,0.8586956521739131,0.2633333333333333,0.8093128727066838,0.3378711140141774
search_95,0.4,0.0,0.0,0.6,0.0,0.11540318686624819,0.8659420289855072,0.20366425223689816,0.7797035241043625,0.3334949826192321
search_68,0.2,0.0,0.4,0.4,0.0,0.1102195945945946,0.9456521739130435,0.197428139183056,0.7869578915646146,0.327634299826813
search_8,0.0,0.0,0.2,0.2,0.6,0.22894168466522677,0.7681159420289855,0.3527454242928453,0.8186122754627727,0.3261475428998622
search_24,0.0,0.2,0.0,0.4,0.3999999999999999,0.1924839596700275,0.7608695652173914,0.30724213606437456,0.8100428755376565,0.3240185490333995
search_29,0.0,0.2,0.2,0.4,0.19999999999999996,0.15910676901605025,0.8260869565217391,0.2668227033352838,0.7990819886213163,0.3221599806942011
search_74,0.2,0.2,0.0,0.4,0.19999999999999996,0.12567237163814182,0.9311594202898551,0.2214562688496338,0.798327443083751,0.31509208287222057
search_78,0.2,0.2,0.2,0.4,0.0,0.10618388934092758,0.9456521739130435,0.19092904169714703,0.7927379843474609,0.31224767316709845
