bin,xgb_pr_auc,all5_pr_auc,n_samples
"(0.0, 0.2]",0.1529011005622713,0.09575709277569495,3097
"(0.2, 0.4]",0.34981193805726796,0.3143264494397542,289
"(0.4, 0.6]",0.8398829263231531,0.7213406446882515,62
