configuration,precision,recall,f1,roc_auc,pr_auc
Text only,0.0779580530273051,0.7137681159420289,0.14056368176953266,0.6490615553911766,0.20238894525071538
Voice only,0.08094435075885328,0.34782608695652173,0.13132694938440492,0.5314865802763393,0.13157168688102583
Behaviour only,0.08,1.0,0.14814814814814814,0.42509908404335955,0.07902766710509024
Structured only,0.30492424242424243,0.5833333333333334,0.40049751243781095,0.8545445101960678,0.4077392874124179
Temporal only,0.2611036339165545,0.7028985507246377,0.380765456329735,0.8268146763102381,0.2855484369467899
Text+Structured,0.10517166449369839,0.8768115942028986,0.18781528909584788,0.7614448919207691,0.31186623881468556
Text+Behav+Struct,0.09946848899012908,0.9492753623188406,0.18006872852233677,0.7595043058181055,0.30340956086640297
All 5,0.10401246591351772,0.967391304347826,0.18782975729862822,0.7793639215363962,0.284296923486952
