threshold,precision,recall,f1,fp,fn
0.05,0.2205029013539652,0.8260869565217391,0.3480916030534351,806,48
0.1,0.28921568627450983,0.6413043478260869,0.39864864864864863,435,99
0.15000000000000002,0.32516703786191536,0.5289855072463768,0.4027586206896552,303,130
0.2,0.35964912280701755,0.44565217391304346,0.39805825242718446,219,153
0.25,0.39925373134328357,0.38768115942028986,0.39338235294117646,161,169
0.3,0.4383561643835616,0.34782608695652173,0.3878787878787879,123,180
0.35000000000000003,0.43820224719101125,0.2826086956521739,0.3436123348017621,100,198
0.4,0.4413793103448276,0.2318840579710145,0.30403800475059384,81,212
0.45,0.4628099173553719,0.2028985507246377,0.28211586901763225,65,220
0.5,0.5353535353535354,0.19202898550724637,0.2826666666666667,46,223
0.55,0.6219512195121951,0.18478260869565216,0.2849162011173184,31,225
0.6000000000000001,0.671875,0.15579710144927536,0.2529411764705882,21,233
0.6500000000000001,0.7441860465116279,0.11594202898550725,0.2006269592476489,11,244
0.7000000000000001,0.7931034482758621,0.08333333333333333,0.15081967213114755,6,253
0.7500000000000001,0.8823529411764706,0.05434782608695652,0.10238907849829351,2,261
0.8,1.0,0.025362318840579712,0.04946996466431095,0,269
0.8500000000000001,1.0,0.010869565217391304,0.021505376344086023,0,273
0.9000000000000001,1.0,0.0036231884057971015,0.007220216606498195,0,275
0.9500000000000001,0.0,0.0,0.0,0,276
