feature,min,max,mean,median,std,missing,mean_Target=0,mean_Target=1,pearson_corr,spearman_corr
behaviour_risk_OLD,0.0,0.6134,0.18548786956521737,0.1718,0.10157933170385429,0,0.18948503903875827,0.13241806331471137,-0.1433851325699393,-0.1856158906992675
behaviour_risk_CORRECTED,0.06530000000000002,0.767,0.26198538695652174,0.2414,0.10233865515147635,0,0.2579596802094534,0.3154340782122905,0.14333734020756073,0.18498914414267154
