condition,precision,recall,f1,roc_auc,pr_auc
All_Available,0.11363636363636363,0.8695652173913043,0.20100502512562815,0.75590965544323,0.25165898495525385
No_Text,0.17061611374407584,0.782608695652174,0.2801556420233463,0.7902340575144061,0.2866732185851071
No_Voice,0.11152941176470588,0.8586956521739131,0.19741774260724698,0.7573867839237282,0.30305868964272775
No_Behaviour,0.12189973614775726,0.8369565217391305,0.21280515891294335,0.7474384263444838,0.24560010431404197
No_Temporal,0.09884201819685691,0.8659420289855072,0.17743132887899035,0.7232575819840551,0.23138602171725137
No_Text_No_Voice,0.2146341463414634,0.7971014492753623,0.3382013835511145,0.8456035451083531,0.3980613619744826
No_Voice_No_Behav,0.1174892703862661,0.7934782608695652,0.2046728971962617,0.7485799475813447,0.29931248894372603
No_Text_No_Behav,0.18956336528221512,0.644927536231884,0.29300411522633746,0.7850595417477145,0.27582122125505926
