Model,precision,recall,f1,roc_auc,pr_auc
With Temporal,0.5638297872340425,0.20306513409961685,0.29859154929577464,0.8408061878482632,0.41577850614497314
Without Temporal,0.5531914893617021,0.19923371647509577,0.29295774647887324,0.8324453617082532,0.4202692263633552
