Model,precision,recall,f1,roc_auc,pr_auc
XGBoost Only,0.30492424242424243,0.5833333333333334,0.40049751243781095,0.8545450809566862,0.40773967791524984
Raw Fixed Weighted Fusion,0.10401246591351772,0.967391304347826,0.18782975729862822,0.7793639215363962,0.284296923486952
Calibrated Weighted Fusion,0.3562005277044855,0.4891304347826087,0.4122137404580153,0.8434072582486324,0.3817147283087969
Learned Logistic Fusion,0.32516703786191536,0.5289855072463768,0.4027586206896552,0.8560929837538697,0.399551946427409
