threshold,precision,recall,f1,roc_auc,pr_auc
0.05,0.20894160583941607,0.8773946360153256,0.3375092114959469,0.8324453617082532,0.4202692263633552
0.1,0.2920353982300885,0.632183908045977,0.39951573849878935,0.8324453617082532,0.4202692263633552
0.15000000000000002,0.3409090909090909,0.5172413793103449,0.410958904109589,0.8324453617082532,0.4202692263633552
0.2,0.39867109634551495,0.45977011494252873,0.42704626334519574,0.8324453617082532,0.4202692263633552
0.25,0.4188034188034188,0.37547892720306514,0.39595959595959596,0.8324453617082532,0.4202692263633552
0.3,0.4427083333333333,0.32567049808429116,0.37527593818984545,0.8324453617082532,0.4202692263633552
0.35000000000000003,0.4423076923076923,0.26436781609195403,0.33093525179856115,0.8324453617082532,0.4202692263633552
0.4,0.46153846153846156,0.22988505747126436,0.3069053708439898,0.8324453617082532,0.4202692263633552
0.45,0.5092592592592593,0.210727969348659,0.2981029810298103,0.8324453617082532,0.4202692263633552
0.5,0.5531914893617021,0.19923371647509577,0.29295774647887324,0.8324453617082532,0.4202692263633552
0.55,0.6216216216216216,0.17624521072796934,0.2746268656716418,0.8324453617082532,0.4202692263633552
0.6000000000000001,0.7037037037037037,0.14559386973180077,0.24126984126984127,0.8324453617082532,0.4202692263633552
0.6500000000000001,0.7441860465116279,0.12260536398467432,0.21052631578947367,0.8324453617082532,0.4202692263633552
0.7000000000000001,0.84375,0.10344827586206896,0.18430034129692832,0.8324453617082532,0.4202692263633552
0.7500000000000001,0.9166666666666666,0.0842911877394636,0.1543859649122807,0.8324453617082532,0.4202692263633552
0.8,1.0,0.04597701149425287,0.08791208791208792,0.8324453617082532,0.4202692263633552
0.8500000000000001,1.0,0.019157088122605363,0.03759398496240601,0.8324453617082532,0.4202692263633552
0.9000000000000001,1.0,0.011494252873563218,0.022727272727272728,0.8324453617082532,0.4202692263633552
